Date,Meal,Count
10/1/2022,Breakfast,430
10/1/2022,Lunch,796
10/1/2022,Dinner,1109
10/2/2022,Breakfast,443
10/2/2022,Lunch,981
10/2/2022,Dinner,1354
10/3/2022,Breakfast,885
10/3/2022,Lunch,1150
10/3/2022,Dinner,1508
10/4/2022,Breakfast,882
10/4/2022,Lunch,1160
10/4/2022,Dinner,1521
10/5/2022,Breakfast,677
10/5/2022,Lunch,1065
10/5/2022,Dinner,1458
10/5/2022,Late Night,760
10/6/2022,Breakfast,800
10/6/2022,Lunch,1150
10/6/2022,Dinner,1350
10/6/2022,Late Night,670
10/7/2022,Breakfast,687
10/7/2022,Lunch,1081
10/7/2022,Dinner,863
10/7/2022,Late Night,100
10/8/2022,Breakfast,326
10/8/2022,Lunch,433
10/8/2022,Dinner,550
10/9/2022,Breakfast,148
10/9/2022,Lunch,385
10/9/2022,Dinner,500
10/10/2022,Breakfast,450
10/10/2022,Lunch,700
10/10/2022,Dinner,750
10/11/2022,Breakfast,650
10/11/2022,Lunch,1200
10/11/2022,Dinner,1500
10/12/2022,Breakfast,1100
10/12/2022,Lunch,1250
10/12/2022,Dinner,1500
10/12/2022,Late Night,500
10/13/2022,Breakfast,1050
10/13/2022,Lunch,1125
10/13/2022,Dinner,1500
10/13/2022,Late Night,400
10/14/2022,Breakfast,1000
10/14/2022,Lunch,1240
10/14/2022,Dinner,1300
10/14/2022,Late Night,550
10/15/2022,Breakfast,700
10/15/2022,Lunch,850
10/15/2022,Dinner,1100
10/16/2022,Breakfast,494
10/16/2022,Lunch,494
10/16/2022,Dinner,1220
10/17/2022,Breakfast,754
10/17/2022,Lunch,1083
10/17/2022,Dinner,1385
10/18/2022,Breakfast,784
10/18/2022,Lunch,1150
10/18/2022,Dinner,1485
10/19/2022,Breakfast,771
10/19/2022,Lunch,1250
10/19/2022,Dinner,1350
10/19/2022,Late Night,100
10/20/2022,Breakfast,785
10/20/2022,Lunch,1221
10/20/2022,Dinner,1353
10/20/2022,Late Night,705
10/21/2022,Breakfast,705
10/21/2022,Lunch,1164
10/21/2022,Dinner,1121
10/21/2022,Late Night,275
10/22/2022,Breakfast,292
10/22/2022,Lunch,758
10/22/2022,Dinner,1098
10/23/2022,Breakfast,320
10/23/2022,Lunch,950
10/23/2022,Dinner,1350
10/24/2022,Breakfast,1000
10/24/2022,Lunch,1200
10/24/2022,Dinner,1600
10/25/2022,Breakfast,920
10/25/2022,Lunch,1200
10/25/2022,Dinner,1400
10/26/2022,Breakfast,950
10/26/2022,Lunch,1250
10/26/2022,Dinner,1575
10/26/2022,Late Night,600
10/27/2022,Breakfast,950
10/27/2022,Lunch,1125
10/27/2022,Dinner,1400
10/27/2022,Late Night,680
10/28/2022,Breakfast,850
10/28/2022,Lunch,1150
10/28/2022,Dinner,900
10/28/2022,Late Night,600
10/29/2022,Breakfast,450
10/29/2022,Lunch,810
10/29/2022,Dinner,1150
10/30/2022,Breakfast,242
10/30/2022,Lunch,944
10/30/2022,Dinner,1305
10/31/2022,Breakfast,765
10/31/2022,Lunch,1135
10/31/2022,Dinner,1482
11/1/2022,Breakfast,808
11/1/2022,Lunch,1108
11/1/2022,Dinner,1504
11/2/2022,Breakfast,761
11/2/2022,Lunch,1220
11/2/2022,Dinner,1500
11/2/2022,Late Night,740
11/3/2022,Breakfast,800
11/3/2022,Lunch,1152
11/3/2022,Dinner,1340
11/3/2022,Late Night,560
11/4/2022,Breakfast,640
11/4/2022,Lunch,1180
11/4/2022,Dinner,1052
